Attention Check,Vehicle Imagined,AV Experience,Primary Mode,ADAS Usage,Tech Confidence,Driving Experience,Continent,Gender,Age,Display,Answer Value,Video ID,Ethnicity,Country,Student,Employment,Driver Trust,Time To Event,Light Conditions,Weather,Scene,Road Type,Ego Fault,Point of Impact,Ego Avoidability,Ego Maneuver,Ego Speeding,Ego Violation,Other Maneuver,Other Speeding,Other Body Style,Other Violation,VRU Involvement,Impact Severity
Pass,AV,No,Car,Medium,High,5-10,Europe,Male,<25,AV,0.0,F_MDWXGfDjkY13qOG,Black,United Kingdom,No,Full-Time,Low,1.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,Low,Medium,5-10,Africa,Female,<25,AV,1.0,F_MDWXGfDjkY13qOG,Black,South Africa,Yes,Part-Time,Medium,1.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,Low,High,5-10,Africa,Male,<25,AV,0.0,F_MDWXGfDjkY13qOG,Mixed,South Africa,Unknown,Unknown,Low,1.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,Medium,Medium,>10,Africa,Female,45-65,AV,0.0,F_w6QnpnDAHPqWDE1,Black,South Africa,No,Full-Time,Low,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Low,Medium,<5,Europe,Male,<25,HDV,0.0,F_w6QnpnDAHPqWDE1,White,Portugal,No,Full-Time,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Bicycle/on foot,Low,Medium,>10,Europe,Female,45-65,HDV,0.0,F_w6QnpnDAHPqWDE1,White,United Kingdom,No,Unemployed,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,Yes,Car,High,High,5-10,Europe,Female,25-45,HDV,0.0,F_w6QnpnDAHPqWDE1,White,Portugal,No,Full-Time,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,High,High,>10,North America,Male,>65,AV,0.0,F_w6QnpnDAHPqWDE1,White,United States,No,Unknown,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,Yes,Car,High,High,5-10,Africa,Female,25-45,HDV,0.0,F_w6QnpnDAHPqWDE1,Black,South Africa,No,Full-Time,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Unknown,AV,No,Car,Low,High,<5,Africa,Female,<25,AV,0.0,F_w6QnpnDAHPqWDE1,Black,South Africa,Yes,Part-Time,Low,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,Yes,Car,Medium,Medium,5-10,Africa,Male,<25,AV,0.0,F_w6QnpnDAHPqWDE1,Black,South Africa,Yes,Part-Time,Medium,1.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Public Transport,Low,Medium,<5,Europe,Male,25-45,HDV,0.0,F_iREJJdZGXYHTheG,White,Hungary,No,Unemployed,High,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Bicycle/on foot,Low,Medium,<5,Europe,Female,25-45,AV,0.0,F_iREJJdZGXYHTheG,White,Estonia,Unknown,Unknown,Medium,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Medium,High,>10,Africa,Female,25-45,HDV,0.0,F_iREJJdZGXYHTheG,Black,South Africa,Yes,Unknown,Medium,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,Yes,Car,High,High,5-10,Africa,Female,25-45,HDV,0.0,F_iREJJdZGXYHTheG,Black,South Africa,Yes,Part-Time,Medium,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Public Transport,Low,High,5-10,Africa,Male,<25,AV,0.0,F_iREJJdZGXYHTheG,Black,South Africa,Yes,Full-Time,Medium,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Medium,High,5-10,Africa,Male,25-45,HDV,0.0,F_iREJJdZGXYHTheG,Black,South Africa,No,Full-Time,High,2.0,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,High,Medium,>10,Europe,Female,25-45,AV,0.0,F_lN6wPfJCswY0qzX,White,Spain,No,Full-Time,Low,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,High,High,5-10,Europe,Female,<25,HDV,0.0,F_lN6wPfJCswY0qzX,White,Poland,Yes,Part-Time,Medium,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Public Transport,Low,High,>10,North America,Male,25-45,HDV,0.0,F_lN6wPfJCswY0qzX,White,Canada,No,Full-Time,Medium,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,Low,High,>10,Europe,Female,25-45,AV,0.0,F_lN6wPfJCswY0qzX,White,Italy,No,Full-Time,Medium,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,Yes,Car,Medium,Medium,5-10,Africa,Female,45-65,AV,0.0,F_lN6wPfJCswY0qzX,Black,South Africa,No,Full-Time,Medium,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Medium,High,<5,Africa,Female,<25,HDV,1.0,F_lN6wPfJCswY0qzX,Black,South Africa,Yes,Part-Time,Low,2.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Public Transport,Low,High,>10,South America,Male,25-45,HDV,1.0,F_tUErj8q4VaDoxZp,Mixed,Chile,Yes,Unemployed,Medium,0.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,Low,Medium,<5,South America,Female,25-45,AV,0.0,F_tUErj8q4VaDoxZp,Unknown,Mexico,Yes,Part-Time,Low,0.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Medium,High,<5,Africa,Female,25-45,HDV,1.0,F_tUErj8q4VaDoxZp,Black,South Africa,Yes,Full-Time,High,0.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,AV,No,Car,High,High,>10,Africa,Male,25-45,AV,1.0,F_tUErj8q4VaDoxZp,Black,South Africa,Unknown,Unknown,Low,0.5,Dark,Clear,Urban,Signalized Intersection,No,T-bone,Unavoidable,Go Straight,No,No,Turning,No,Truck,Right-of-way,No,Minor
Pass,HDV,No,Car,Medium,Medium,<5,Europe,Male,<25,HDV,0.0,F_1dHuK4Ui9jzHujy,White,Poland,Yes,Unemployed,Medium,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,High,High,5-10,Europe,Male,25-45,AV,0.0,F_1dHuK4Ui9jzHujy,Black,United Kingdom,Unknown,Unknown,Medium,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Public Transport,Low,Medium,<5,Africa,Female,<25,AV,0.0,F_1dHuK4Ui9jzHujy,Black,South Africa,Unknown,Unknown,High,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,High,5-10,Africa,Male,25-45,HDV,1.0,F_1dHuK4Ui9jzHujy,Black,South Africa,Yes,Full-Time,Medium,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,High,5-10,Africa,Female,25-45,HDV,0.0,F_1dHuK4Ui9jzHujy,Mixed,South Africa,No,Unemployed,Medium,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,Medium,>10,North America,Female,>65,HDV,0.0,F_1dHuK4Ui9jzHujy,White,United States,Unknown,Unknown,Low,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,Medium,5-10,Africa,Female,25-45,HDV,1.0,F_1dHuK4Ui9jzHujy,Mixed,South Africa,Yes,Full-Time,Low,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Low,High,<5,Africa,Male,<25,AV,1.0,F_1dHuK4Ui9jzHujy,Black,South Africa,Yes,Full-Time,High,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,Yes,Car,High,High,5-10,Africa,Female,25-45,AV,1.0,F_1dHuK4Ui9jzHujy,Black,South Africa,Unknown,Unknown,Medium,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,Yes,Car,High,High,>10,Africa,Male,25-45,HDV,1.0,F_1dHuK4Ui9jzHujy,Black,South Africa,Yes,Full-Time,High,1.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Public Transport,Medium,Low,<5,Europe,Male,<25,AV,1.0,F_YLWlQlrhAIjBIqK,White,Portugal,Yes,Unemployed,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,High,5-10,Europe,Male,25-45,HDV,0.0,F_YLWlQlrhAIjBIqK,Black,United Kingdom,Yes,Full-Time,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,High,>10,South America,Male,25-45,HDV,0.0,F_YLWlQlrhAIjBIqK,Mixed,Chile,Yes,Unemployed,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,Medium,<5,Europe,Male,>65,HDV,1.0,F_YLWlQlrhAIjBIqK,White,United Kingdom,No,Unemployed,High,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,High,>10,Europe,Female,25-45,AV,0.0,F_YLWlQlrhAIjBIqK,White,United Kingdom,No,Full-Time,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,High,>10,Europe,Female,25-45,HDV,1.0,F_YLWlQlrhAIjBIqK,White,Spain,No,Full-Time,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,High,<5,Africa,Female,<25,HDV,1.0,F_YLWlQlrhAIjBIqK,Black,South Africa,Yes,Full-Time,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,Medium,5-10,South America,Female,25-45,HDV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,Unknown,Unknown,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,Medium,>10,Africa,Female,25-45,HDV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,No,Full-Time,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Low,Medium,>10,Europe,Male,45-65,AV,0.0,F_YLWlQlrhAIjBIqK,White,United Kingdom,No,Unemployed,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,High,High,>10,Africa,Male,45-65,HDV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,No,Full-Time,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,High,<5,Africa,Male,<25,AV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,Yes,Unemployed,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,Medium,>10,Africa,Female,25-45,AV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,Unknown,Unknown,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,Yes,Car,Medium,High,>10,Africa,Male,25-45,HDV,0.0,F_YLWlQlrhAIjBIqK,Black,South Africa,No,Full-Time,Medium,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
